snr_db,symbol_id,I_clean,Q_clean,rx_I,rx_Q,r,theta
0,0,-0.9486832980505138,-0.9486832980505138,-1.0260960150938552,-0.6860012122383081,1.2342895508688054,-2.5522841570307278
0,0,-0.9486832980505138,-0.9486832980505138,-1.617266965976107,0.0086155899378991,1.6172899145260076,3.136265451205683
0,0,-0.9486832980505138,-0.9486832980505138,-0.6209341196484992,-0.4090487791577532,0.7435590660291252,-2.5590813978353655
0,0,-0.9486832980505138,-0.9486832980505138,-0.4071665767978052,-0.8551659662231162,0.9471501734400722,-2.0151628112528934
0,0,-0.9486832980505138,-0.9486832980505138,-0.4040355679638653,0.1477127176951578,0.43019040801576763,2.791094302256497
0,0,-0.9486832980505138,-0.9486832980505138,-0.5120909257605302,-1.355016019798259,1.4485529089944187,-1.9321266489116182
0,0,-0.9486832980505138,-0.9486832980505138,-0.6758358007892562,0.2276946427908381,0.7131611879400775,2.8166281509607174
0,0,-0.9486832980505138,-0.9486832980505138,-1.6587300120455593,-0.1999146213880994,1.6707337037078676,-3.0216484784592086
0,0,-0.9486832980505138,-0.9486832980505138,-1.6041747776559068,-2.0050951794172933,2.5678363257399885,-2.2455672632625188
0,0,-0.9486832980505138,-0.9486832980505138,-1.8685121662213744,-0.2775616707668346,1.8890151392713002,-2.9941241427423155
0,0,-0.9486832980505138,-0.9486832980505138,-0.4613643340693621,-1.3664114006381092,1.4421987257465823,-1.8964238970784175
0,0,-0.9486832980505138,-0.9486832980505138,-1.2056397828085847,-1.2334742316034115,1.7248263581938785,-2.3447832808519253
0,0,-0.9486832980505138,-0.9486832980505138,0.1154594998896034,-0.9399204277791442,0.9469853782774509,-1.4485690049283286
0,0,-0.9486832980505138,-0.9486832980505138,-1.4108749246770511,-1.3709849245573342,1.9672741843591488,-2.3705328352589596
0,0,-0.9486832980505138,-0.9486832980505138,-1.1324951808254329,-1.74492690101771,2.0802199942525545,-2.1464834091325207
0,0,-0.9486832980505138,-0.9486832980505138,-0.4484463693978185,-0.6313524298548701,0.77440947625254,-2.188398211518784
0,0,-0.9486832980505138,-0.9486832980505138,-0.9790092089660792,-0.4603660963961871,1.0818484061787268,-2.7020378798990703
0,0,-0.9486832980505138,-0.9486832980505138,-1.8820919984730609,-0.0281133738551393,1.8823019557196021,-3.126656463836652
0,0,-0.9486832980505138,-0.9486832980505138,-0.2619858811417871,-0.3594086282550891,0.4447596699138125,-2.200679610852838
0,0,-0.9486832980505138,-0.9486832980505138,-0.9494783987074183,-1.2046124643530245,1.5338189002899496,-2.238302079301818
0,0,-0.9486832980505138,-0.9486832980505138,0.2610514135639965,-1.069199536437555,1.1006068731577336,-1.3313254772515686
0,0,-0.9486832980505138,-0.9486832980505138,-0.8903530303680703,-0.3820147091413957,0.9688466115366204,-2.736288335437169
0,0,-0.9486832980505138,-0.9486832980505138,-1.3688068227587915,0.0449338648999226,1.3695441468772966,3.108777405939872
0,0,-0.9486832980505138,-0.9486832980505138,0.2986210116759595,-1.060610940910775,1.1018484816861223,-1.296345645661131
0,0,-0.9486832980505138,-0.9486832980505138,-0.987673111945443,-1.033330362554434,1.4294298913332104,-2.333606955735098
0,0,-0.9486832980505138,-0.9486832980505138,-1.6565505404905243,-0.2063822481370478,1.6693571593716996,-3.0176457608477385
0,0,-0.9486832980505138,-0.9486832980505138,-0.2883285519623751,0.2217990940163954,0.36376942145157537,2.4858798134566467
0,0,-0.9486832980505138,-0.9486832980505138,0.0175461829240829,-0.6371471249798887,0.637388678441454,-1.543264617546109
0,0,-0.9486832980505138,-0.9486832980505138,-0.0881271802358979,-1.3393193541967945,1.3422156057885966,-1.63650158455762
0,0,-0.9486832980505138,-0.9486832980505138,-1.4375008998811776,-1.891327515096444,2.375611206936035,-2.2206976051962215
0,0,-0.9486832980505138,-0.9486832980505138,0.1872384456825111,-1.1840773698128912,1.1987899954723584,-1.413964677669925
0,0,-0.9486832980505138,-0.9486832980505138,-0.2127029971976253,-0.2520798526984915,0.3298284662568502,-2.2716753471977897
0,0,-0.9486832980505138,-0.9486832980505138,-1.972116635832572,-1.34503289183021,2.3871232698444205,-2.543032573957032
0,0,-0.9486832980505138,-0.9486832980505138,-0.8886699878685502,-1.4311482732129308,1.6846126341858663,-2.1264772072788363
0,0,-0.9486832980505138,-0.9486832980505138,-2.001895104341988,-1.4844557709446609,2.4922265034862554,-2.5035374835664697
0,0,-0.9486832980505138,-0.9486832980505138,-1.8666424544349656,-1.200695640202236,2.2194648168195075,-2.5699856265592325
0,0,-0.9486832980505138,-0.9486832980505138,-0.5555439038407244,-0.5401216222122981,0.7748292688559438,-2.3702692811435586
0,0,-0.9486832980505138,-0.9486832980505138,0.0997674329441089,-0.8899582448880541,0.8955329241968063,-1.459158927400582
0,0,-0.9486832980505138,-0.9486832980505138,-1.38401407457633,-3.0574560884081103,3.3561186944399326,-1.9958671658789064
0,0,-0.9486832980505138,-0.9486832980505138,-1.7375160736352473,-1.7407721201351267,2.4595222463683046,-2.3552583844508406
0,0,-0.9486832980505138,-0.9486832980505138,-1.3612172327108545,-2.5878745863474872,2.9240395396253067,-2.0550254823933343
0,0,-0.9486832980505138,-0.9486832980505138,-1.7131976231982664,-1.235632306209104,2.1123052081268505,-2.516751261226957
0,0,-0.9486832980505138,-0.9486832980505138,-1.380496073909434,-1.4165592070897266,1.9779811417882722,-2.3433019544975897
